"perc_feat","AUC","F_scores"
0.05,0.856327307326356,0.958270648578266
0.06,0.857142857142857,0.958047402871622
0.07,0.862264150943396,0.958642358178491
0.08,0.864761904761905,0.959990630278716
0.09,0.862298195631529,0.959452861064189
0.1,0.863679694947569,0.96045361768018
0.11,0.863939105613701,0.959580430039414
0.12,0.858499525166192,0.959842166385135
0.13,0.863117870722434,0.961038675394144
0.14,0.862264150943396,0.960350242820946
0.15,0.860663507109005,0.960921004011824
0.16,0.858490566037736,0.960968292511261
0.17,0.855250709555345,0.960066511824324
0.18,0.854716981132075,0.960911106418919
0.19,0.855250709555345,0.96119263795045
0.2,0.856872037914692,0.960753844664977
0.21,0.861451460885957,0.961385091145833
0.22,0.857949200376294,0.96130810986768
0.23,0.862819299905393,0.961474169481982
0.24,0.852830188679245,0.960985888231982
0.25,0.86039886039886,0.961855776675113
0.26,0.849056603773585,0.960864917652027
0.27,0.854166666666667,0.961161845439189
0.28,0.854186265286924,0.960978190104167
0.29,0.859301227573182,0.961510460655968
0.3,0.853889943074004,0.961030977266329
0.31,0.857412653446648,0.961970148859797
0.32,0.851746931067044,0.961336702913851
0.33,0.852801519468186,0.961492864935248
0.34,0.854442344045369,0.960990287162162
0.35,0.851184834123223,0.961007882882883
0.36,0.852304797742239,0.961083764428491
0.37,0.855238095238095,0.961049672719595
0.38,0.854976303317536,0.961082664695946
0.39,0.849056603773585,0.960486609656532
0.4,0.853911404335533,0.960660367398649
0.41,0.857954545454545,0.961144249718468
0.42,0.84957426679281,0.961482967342342
0.43,0.854166666666667,0.961005683417793
0.44,0.857412653446648,0.960925402942004
0.45,0.853635505193579,0.960759343327703
0.46,0.854716981132075,0.960732949746622
0.47,0.853107344632768,0.961390589808559
0.48,0.852551984877127,0.960439321157095
0.49,0.857681432610744,0.96021387598536
0.5,0.854976303317536,0.961170643299549
0.51,0.854976303317536,0.961293813344595
0.52,0.854442344045369,0.961037575661599
0.53,0.857949200376294,0.961300411739865
0.54,0.850661625708885,0.960975990639077
0.55,0.852830188679245,0.960321649774775
0.56,0.850943396226415,0.96117944115991
0.57,0.854976303317536,0.961148648648649
0.58,0.853635505193579,0.960313951646959
0.59,0.851746931067044,0.960484410191441
0.6,0.855796418473138,0.960269962345158
